word;old_prompt;meaning;response;prompt
pakkies;Wat is de betekenis van pakkies?;pakslaag;"Pakkies is een informele term die vaak gebruikt wordt in Nederland en Vlaanderen om te verwijzen naar een pakje sigaretten. Het is een gangbare manier om te spreken over een pakje sigaretten, vooral in de context van roken of het kopen van sigaretten.  In de Nederlandse taal wordt ""pakkies"" niet alleen gebruikt";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Pakkies is een informele term die vaak gebruikt wordt in Nederland en Vlaanderen om te verwijzen naar een pakje sigaretten. Het is een gangbare manier om te spreken over een pakje sigaretten, vooral in de context van roken of het kopen van sigaretten.  In de Nederlandse taal wordt ""pakkies"" niet alleen gebruikt"
popo;Wat is de betekenis van popo?;politie;"Popo is een informele term die in Nederland en Vlaanderen gebruikt wordt om te verwijzen naar politieagenten of de politie in het algemeen. Het is een afkorting van ""politie"" en wordt vaak gebruikt in spreektaal of in informele contexten. Het is een term die vooral bekend is in het straattaalgebruik en wordt soms ook gebruikt in humoristische of";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Popo is een informele term die in Nederland en Vlaanderen gebruikt wordt om te verwijzen naar politieagenten of de politie in het algemeen. Het is een afkorting van ""politie"" en wordt vaak gebruikt in spreektaal of in informele contexten. Het is een term die vooral bekend is in het straattaalgebruik en wordt soms ook gebruikt in humoristische of"
scotoe;Wat is de betekenis van scotoe?;politie;Scotoe is een term die vaak gebruikt wordt in de astronomie en verwijst naar de donkere banden die zichtbaar zijn op de hemel wanneer men naar de nachtelijke sterrenhemel kijkt. Deze banden zijn eigenlijk stofwolken of moleculaire wolken die zich tussen de sterren bevinden en een deel van het licht van de sterren blokkeren,;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Scotoe is een term die vaak gebruikt wordt in de astronomie en verwijst naar de donkere banden die zichtbaar zijn op de hemel wanneer men naar de nachtelijke sterrenhemel kijkt. Deze banden zijn eigenlijk stofwolken of moleculaire wolken die zich tussen de sterren bevinden en een deel van het licht van de sterren blokkeren,
wouten;Wat is de betekenis van wouten?;politie;"Wouten, of ""wouten"" in het Nederlands, is een term die vaak gebruikt wordt om een groep mensen aan te duiden die zich gedragen op een manier die als ongepast of onaangenaam wordt beschouwd. Het kan verwijzen naar gedrag dat als overlastgevend, asociaal, of onverantwoordelijk wordt ervaren.  In de context van de";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Wouten, of ""wouten"" in het Nederlands, is een term die vaak gebruikt wordt om een groep mensen aan te duiden die zich gedragen op een manier die als ongepast of onaangenaam wordt beschouwd. Het kan verwijzen naar gedrag dat als overlastgevend, asociaal, of onverantwoordelijk wordt ervaren.  In de context van de"
aight;Wat is de betekenis van aight?;prima, ok, geweldig;"Aight is een informele uitdrukking die in het Engels gebruikt wordt om instemming of bevestiging te geven. Het wordt vaak gebruikt in gesprekken tussen mensen die een bepaalde situatie of voorstel accepteren of ermee instemmen.  Het woord ""aight"" is een verkorte vorm van ""all right"", wat letterlijk ""alles";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Aight is een informele uitdrukking die in het Engels gebruikt wordt om instemming of bevestiging te geven. Het wordt vaak gebruikt in gesprekken tussen mensen die een bepaalde situatie of voorstel accepteren of ermee instemmen.  Het woord ""aight"" is een verkorte vorm van ""all right"", wat letterlijk ""alles"
hayek;Wat is de betekenis van hayek?;raar, overdreven, heel erg;"Hayek is een term die vaak gebruikt wordt in de economie en de filosofie, vooral in de context van de Oostenrijkse School en de theorie van het kapitalisme. Het woord ""hayek"" verwijst naar de Oostenrijkse econoom Friedrich von Hayek, die een belangrijke figuur was in de ontwikkeling van de Oostenrijkse School en die bekend staat om zijn wer";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Hayek is een term die vaak gebruikt wordt in de economie en de filosofie, vooral in de context van de Oostenrijkse School en de theorie van het kapitalisme. Het woord ""hayek"" verwijst naar de Oostenrijkse econoom Friedrich von Hayek, die een belangrijke figuur was in de ontwikkeling van de Oostenrijkse School en die bekend staat om zijn wer"
hosselen;Wat is de betekenis van hosselen?;regelen;Hosselen is een informele term die vaak gebruikt wordt in de Verenigde Staten en verwijst naar het op een sluwe of slimme manier verkrijgen van iets, meestal iets waardevols of iets dat men graag wil hebben maar waarvoor men niet direct betaalt of waarvoor men normaal gesproken niet in aanmerking zou komen.  Het woord ';Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Hosselen is een informele term die vaak gebruikt wordt in de Verenigde Staten en verwijst naar het op een sluwe of slimme manier verkrijgen van iets, meestal iets waardevols of iets dat men graag wil hebben maar waarvoor men niet direct betaalt of waarvoor men normaal gesproken niet in aanmerking zou komen.  Het woord '
bars;Wat is de betekenis van bars?;regels;Bars zijn een eenheid van massa die vaak gebruikt wordt in de chemie en fysica om de massa van een bepaalde hoeveelheid stof aan te duiden. Een bar is gelijk aan 100 gram, wat overeenkomt met ongeveer 0,001 kilogram (kg).  In de context van de tekst die je hebt gegeven, lijkt het;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Bars zijn een eenheid van massa die vaak gebruikt wordt in de chemie en fysica om de massa van een bepaalde hoeveelheid stof aan te duiden. Een bar is gelijk aan 100 gram, wat overeenkomt met ongeveer 0,001 kilogram (kg).  In de context van de tekst die je hebt gegeven, lijkt het
ribba;Wat is de betekenis van ribba?;rijbewijs;Ribba is een term die vaak gebruikt wordt in de context van de Italiaanse keuken en verwijst naar een soort pasta die lijkt op een soort ribbels of ribbeltjes. Deze ribbels kunnen zowel in de vorm van de pasta zelf zitten als in de manier waarop de pasta wordt gesneden of gevormd.  In de Italiaanse keuken kan ribba;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Ribba is een term die vaak gebruikt wordt in de context van de Italiaanse keuken en verwijst naar een soort pasta die lijkt op een soort ribbels of ribbeltjes. Deze ribbels kunnen zowel in de vorm van de pasta zelf zitten als in de manier waarop de pasta wordt gesneden of gevormd.  In de Italiaanse keuken kan ribba
fittie;Wat is de betekenis van fittie?;ruzie, gevecht;"Fittie is een informele term die vaak gebruikt wordt om een conflict of ruzie te beschrijven, vooral in een context waarin mensen het niet eens zijn of een meningsverschil hebben. Het woord is afgeleid van het Engelse woord ""fight"", wat vechten of strijden betekent, maar in deze context wordt het gebruikt om een woordenwisseling of een menings";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Fittie is een informele term die vaak gebruikt wordt om een conflict of ruzie te beschrijven, vooral in een context waarin mensen het niet eens zijn of een meningsverschil hebben. Het woord is afgeleid van het Engelse woord ""fight"", wat vechten of strijden betekent, maar in deze context wordt het gebruikt om een woordenwisseling of een menings"
dushi;Wat is de betekenis van dushi?;schatje, liefje;"Dushi is een woord dat oorspronkelijk uit het Papiamentu komt, een taal die voornamelijk op de Nederlandse Antillen en in Suriname wordt gesproken. Het woord ""dushi"" betekent ""liefde"" of ""schat"" en wordt vaak gebruikt om affectie of genegenheid uit te drukken, zowel in romantische als in v";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Dushi is een woord dat oorspronkelijk uit het Papiamentu komt, een taal die voornamelijk op de Nederlandse Antillen en in Suriname wordt gesproken. Het woord ""dushi"" betekent ""liefde"" of ""schat"" en wordt vaak gebruikt om affectie of genegenheid uit te drukken, zowel in romantische als in v"
flappie;Wat is de betekenis van flappie?;schatje;"Flappie is een informele term die vaak gebruikt wordt om een klein, schattig of speels dier aan te duiden, meestal een knaagdier zoals een muis of een konijn. Het woord is een vertaling van het Engelse ""flapper"", wat verwijst naar het flapperen van de oren van sommige kleine dieren. In Nederlandse context wordt het soms";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Flappie is een informele term die vaak gebruikt wordt om een klein, schattig of speels dier aan te duiden, meestal een knaagdier zoals een muis of een konijn. Het woord is een vertaling van het Engelse ""flapper"", wat verwijst naar het flapperen van de oren van sommige kleine dieren. In Nederlandse context wordt het soms"
gudu;Wat is de betekenis van gudu?;schatje;"Gudu is een term die voornamelijk gebruikt wordt in de Hindoeïstische en Sikh religieuze contexten. Het verwijst naar een specifieke vorm van gebed of meditatie die vaak wordt uitgevoerd in de ochtend of avond, vooral tijdens de maand Ramadan, wanneer moslims vasten.  In de Hindoeïstische traditie kan """;"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Gudu is een term die voornamelijk gebruikt wordt in de Hindoeïstische en Sikh religieuze contexten. Het verwijst naar een specifieke vorm van gebed of meditatie die vaak wordt uitgevoerd in de ochtend of avond, vooral tijdens de maand Ramadan, wanneer moslims vasten.  In de Hindoeïstische traditie kan """
manis;Wat is de betekenis van manis?;schatje;"Manis is een term die vaak gebruikt wordt in de Indonesische keuken en betekent ""zoet"" of ""suikerachtig"". Het verwijst naar gerechten of ingrediënten die een sterke zoetheid hebben, zoals bepaalde desserts, sauzen, of zelfs bepaalde soorten vlees of groenten die met een zoete marinade of saus bereid worden. ";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Manis is een term die vaak gebruikt wordt in de Indonesische keuken en betekent ""zoet"" of ""suikerachtig"". Het verwijst naar gerechten of ingrediënten die een sterke zoetheid hebben, zoals bepaalde desserts, sauzen, of zelfs bepaalde soorten vlees of groenten die met een zoete marinade of saus bereid worden. "
smatje;Wat is de betekenis van smatje?;schatje;"Smatje is een informele uitdrukking die vaak gebruikt wordt om iemand te beschrijven die erg aantrekkelijk of mooi wordt gevonden. Het is een term die vooral in Nederlandse en Vlaamse dialecten voorkomt en is afgeleid van het woord ""smat"", wat een soort van vlees of worst is die traditioneel in de Nederlandse keuken wordt gebru";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Smatje is een informele uitdrukking die vaak gebruikt wordt om iemand te beschrijven die erg aantrekkelijk of mooi wordt gevonden. Het is een term die vooral in Nederlandse en Vlaamse dialecten voorkomt en is afgeleid van het woord ""smat"", wat een soort van vlees of worst is die traditioneel in de Nederlandse keuken wordt gebru"
pookie;Wat is de betekenis van pookie?;schattig;"Pookie is een informele term die vaak gebruikt wordt in de context van de televisieserie ""The Fresh Prince of Bel-Air"", die liep van 1990 tot 1996. In deze serie is ""Pookie"" een bijnaam voor het personage ""Will Smith"", die in de show bekend staat als ""The Fresh Prince"".  In de serie is ""Pookie"" een speelse en liefdevolle";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Pookie is een informele term die vaak gebruikt wordt in de context van de televisieserie ""The Fresh Prince of Bel-Air"", die liep van 1990 tot 1996. In deze serie is ""Pookie"" een bijnaam voor het personage ""Will Smith"", die in de show bekend staat als ""The Fresh Prince"".  In de serie is ""Pookie"" een speelse en liefdevolle"
skiffa;Wat is de betekenis van skiffa?;scheef;"Skiffa is een term die gebruikt wordt in de roeisport, specifiek in de discipline van de skiff, een eenpersoons roeiboot. ""Skiffa"" verwijst naar een vrouwelijke roeier die in een skiff roeit.  In de roeisport worden mannelijke roeiers vaak ""skiffs"" genoemd en vrouwelijke roeiers ""skiffa";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Skiffa is een term die gebruikt wordt in de roeisport, specifiek in de discipline van de skiff, een eenpersoons roeiboot. ""Skiffa"" verwijst naar een vrouwelijke roeier die in een skiff roeit.  In de roeisport worden mannelijke roeiers vaak ""skiffs"" genoemd en vrouwelijke roeiers ""skiffa"
skitta;Wat is de betekenis van skitta?;schijt;Skitta is een term die vaak gebruikt wordt in de skateboard- en surfcommunity, en het verwijst naar de zijkant van een skateboard of surfplank. Het is een belangrijk onderdeel van het skateboard omdat het de plek is waar de skater zijn voeten plaatst tijdens het rijden.  In de surfwereld wordt de term skitta gebruikt om te verwijzen;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Skitta is een term die vaak gebruikt wordt in de skateboard- en surfcommunity, en het verwijst naar de zijkant van een skateboard of surfplank. Het is een belangrijk onderdeel van het skateboard omdat het de plek is waar de skater zijn voeten plaatst tijdens het rijden.  In de surfwereld wordt de term skitta gebruikt om te verwijzen
patta;Wat is de betekenis van patta?;schoen;"Patta is een term die vaak gebruikt wordt in de Indiase taal en verwijst naar een soort schoen of laars. Het is een informele term die vooral in het Hindi en andere Indiase talen voorkomt. In het Nederlands zou je ""patta"" kunnen vertalen als ""laars"" of ""schoen"".  In de context van de gegeven zin lijkt het";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Patta is een term die vaak gebruikt wordt in de Indiase taal en verwijst naar een soort schoen of laars. Het is een informele term die vooral in het Hindi en andere Indiase talen voorkomt. In het Nederlands zou je ""patta"" kunnen vertalen als ""laars"" of ""schoen"".  In de context van de gegeven zin lijkt het"
shoebas;Wat is de betekenis van shoebas?;schoenen;Shoebas, of schoenen, hebben een veelzijdige betekenis in verschillende contexten.  1. **Mode en Kleding**: Schoenen zijn een essentieel onderdeel van de kleding en kunnen een persoonlijke stijl uitdrukken. Ze zijn er in vele vormen, maten, kleuren en materialen, en kunnen variëren van alleda;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Shoebas, of schoenen, hebben een veelzijdige betekenis in verschillende contexten.  1. **Mode en Kleding**: Schoenen zijn een essentieel onderdeel van de kleding en kunnen een persoonlijke stijl uitdrukken. Ze zijn er in vele vormen, maten, kleuren en materialen, en kunnen variëren van alleda
scorro;Wat is de betekenis van scorro?;school;"Scorro is een informele term die in sommige delen van Italië, en dan vooral in de regio Napels, gebruikt wordt om een middelbare school of een school voor voortgezet onderwijs aan te duiden. Het woord is afgeleid van het Italiaanse ""scuola"", wat ""school"" betekent, maar het heeft een specifieke connotatie die verwijst naar de";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Scorro is een informele term die in sommige delen van Italië, en dan vooral in de regio Napels, gebruikt wordt om een middelbare school of een school voor voortgezet onderwijs aan te duiden. Het woord is afgeleid van het Italiaanse ""scuola"", wat ""school"" betekent, maar het heeft een specifieke connotatie die verwijst naar de"
scooba;Wat is de betekenis van scooba?;Scooter;Scooba is een term die vaak gebruikt wordt in de wereld van de scooters en bromfietsen, en het verwijst specifiek naar een scooter die is uitgerust met een automatische transmissie. Deze term is vooral bekend in de Verenigde Staten en Canada, waar scooters met automatische transmissie populair zijn.  In Nederland en België, waar de;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Scooba is een term die vaak gebruikt wordt in de wereld van de scooters en bromfietsen, en het verwijst specifiek naar een scooter die is uitgerust met een automatische transmissie. Deze term is vooral bekend in de Verenigde Staten en Canada, waar scooters met automatische transmissie populair zijn.  In Nederland en België, waar de
yusu;Wat is de betekenis van yusu?;serieus, echt;"Yusu is een term die in verschillende culturen en contexten gebruikt kan worden, maar het is niet direct een bekend woord in de Nederlandse taal. Het lijkt op een woord dat mogelijk een Japanse of Koreaanse oorsprong heeft, aangezien het een combinatie is van de Japanse karakters ""yu"" (wat ""vrede"" of ""rust"" betekent) en ""su";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Yusu is een term die in verschillende culturen en contexten gebruikt kan worden, maar het is niet direct een bekend woord in de Nederlandse taal. Het lijkt op een woord dat mogelijk een Japanse of Koreaanse oorsprong heeft, aangezien het een combinatie is van de Japanse karakters ""yu"" (wat ""vrede"" of ""rust"" betekent) en ""su"
etje;Wat is de betekenis van etje?;sigaret;"Etje is een informele uitdrukking die vaak gebruikt wordt om een kleine hoeveelheid van iets aan te duiden. Het is een afkorting van ""een etenswaar"" of ""een klein hoeveelheid eten"". In de context van een gesprek kan het bijvoorbeeld gebruikt worden om aan te geven dat iemand een kleine snack of een kleine";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Etje is een informele uitdrukking die vaak gebruikt wordt om een kleine hoeveelheid van iets aan te duiden. Het is een afkorting van ""een etenswaar"" of ""een klein hoeveelheid eten"". In de context van een gesprek kan het bijvoorbeeld gebruikt worden om aan te geven dat iemand een kleine snack of een kleine"
geroe;Wat is de betekenis van geroe?;sigaret;"Geroe is een term die vaak gebruikt wordt in de context van de sport roeien. Het verwijst naar het proces van het roeien zelf, waarbij een roeier met een roeispaan of roeiriem door het water beweegt om een boot voort te stuwen.  In de context van de sport kan ""geroe"" duiden op:  1. Het actief ro";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Geroe is een term die vaak gebruikt wordt in de context van de sport roeien. Het verwijst naar het proces van het roeien zelf, waarbij een roeier met een roeispaan of roeiriem door het water beweegt om een boot voort te stuwen.  In de context van de sport kan ""geroe"" duiden op:  1. Het actief ro"
saaf;Wat is de betekenis van saaf?;sigaret, peuk;"Saaf, ook wel bekend als saffraan, is een specerij die bekend staat om zijn dieprode kleur en intense aroma. Het is afkomstig van de saffraankrokus, ""Crocus sativus"", die voornamelijk in Iran, Afghanistan, en andere delen van Zuidwest-Azië wordt geteeld.  De betekenis van saaf in culturele en historische contexten";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Saaf, ook wel bekend als saffraan, is een specerij die bekend staat om zijn dieprode kleur en intense aroma. Het is afkomstig van de saffraankrokus, ""Crocus sativus"", die voornamelijk in Iran, Afghanistan, en andere delen van Zuidwest-Azië wordt geteeld.  De betekenis van saaf in culturele en historische contexten"
snef;Wat is de betekenis van snef?;sigaret;"Snef is een term die vaak gebruikt wordt in de context van cryptografie en cryptocurrencies, zoals Bitcoin. Het staat voor ""single non-fungible entity"", wat in het Nederlands vertaald kan worden als ""enkele niet-vervangbare eenheid"".  In de context van Bitcoin verwijst snef naar een specifieke hoeveelheid Bitcoin die gelijk staat aan 100.0";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Snef is een term die vaak gebruikt wordt in de context van cryptografie en cryptocurrencies, zoals Bitcoin. Het staat voor ""single non-fungible entity"", wat in het Nederlands vertaald kan worden als ""enkele niet-vervangbare eenheid"".  In de context van Bitcoin verwijst snef naar een specifieke hoeveelheid Bitcoin die gelijk staat aan 100.0"
dagga;Wat is de betekenis van dagga?;slapen, moe;Dagga is een muziekgenre dat zijn oorsprong vindt in Jamaica. Het is een vorm van reggae die zich kenmerkt door zijn ritmische en hypnotiserende drumritmes, vaak gespeeld op de 'dub' drum, en een sterke nadruk op improvisatie en call-and-response zang. Dagga staat ook bekend om zijn invloed op de on;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Dagga is een muziekgenre dat zijn oorsprong vindt in Jamaica. Het is een vorm van reggae die zich kenmerkt door zijn ritmische en hypnotiserende drumritmes, vaak gespeeld op de 'dub' drum, en een sterke nadruk op improvisatie en call-and-response zang. Dagga staat ook bekend om zijn invloed op de on
tukken;Wat is de betekenis van tukken?;slapen;Tukken is een term die vaak gebruikt wordt in de Nederlandse taal om een korte middagdut of slaapje aan te duiden, vooral bij kinderen of volwassenen die een vermoeidheid voelen na een maaltijd of een periode van activiteit. Het woord is afgeleid van het Nederlandse werkwoord 'tukken', wat 'een dutje doen' bet;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Tukken is een term die vaak gebruikt wordt in de Nederlandse taal om een korte middagdut of slaapje aan te duiden, vooral bij kinderen of volwassenen die een vermoeidheid voelen na een maaltijd of een periode van activiteit. Het woord is afgeleid van het Nederlandse werkwoord 'tukken', wat 'een dutje doen' bet
zippie;Wat is de betekenis van zippie?;slokje;"Zippie is een informele term die vaak gebruikt wordt om iemand aan te duiden die heel enthousiast en energiek is, of iemand die bekend staat om zijn of haar levendige en energieke persoonlijkheid. Het woord is een samentrekking van ""zip"" (snel) en ""pie"" (klein, schattig), wat een beetje de energieke en";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Zippie is een informele term die vaak gebruikt wordt om iemand aan te duiden die heel enthousiast en energiek is, of iemand die bekend staat om zijn of haar levendige en energieke persoonlijkheid. Het woord is een samentrekking van ""zip"" (snel) en ""pie"" (klein, schattig), wat een beetje de energieke en"
gimma;Wat is de betekenis van gimma?;spel;"Gimma is een term die voornamelijk gebruikt wordt in de Joodse traditie en heeft verschillende betekenissen, afhankelijk van de context.  In de Joodse wetgeving, de Halacha, verwijst ""gimma"" naar een situatie waarin iemand een fout maakt die niet opzettelijk is, maar ook niet het gevolg is van een ongeluk";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Gimma is een term die voornamelijk gebruikt wordt in de Joodse traditie en heeft verschillende betekenissen, afhankelijk van de context.  In de Joodse wetgeving, de Halacha, verwijst ""gimma"" naar een situatie waarin iemand een fout maakt die niet opzettelijk is, maar ook niet het gevolg is van een ongeluk"
fotto;Wat is de betekenis van fotto?;stad;"Fotto is een Italiaanse term die letterlijk ""foto"" betekent. In de context van fotografie en fotografische apparatuur wordt het vaak gebruikt om te verwijzen naar een camera of een fotografisch apparaat. Het woord is afgeleid van het Griekse ""photós"", wat ""licht"" betekent, en ""graphein"", wat ""schrijven"" of ""te";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Fotto is een Italiaanse term die letterlijk ""foto"" betekent. In de context van fotografie en fotografische apparatuur wordt het vaak gebruikt om te verwijzen naar een camera of een fotografisch apparaat. Het woord is afgeleid van het Griekse ""photós"", wat ""licht"" betekent, en ""graphein"", wat ""schrijven"" of ""te"
rippen;Wat is de betekenis van rippen?;stelen;Rippen is een term die vaak gebruikt wordt in de context van muziek en digitale media. In de muziekindustrie verwijst rippen naar het proces waarbij een fysiek medium, zoals een cd of vinylplaat, wordt omgezet naar een digitaal formaat, zoals MP3 of WAV. Dit kan gedaan worden om de muziek te digitaliseren voor persoonlijk gebruik;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Rippen is een term die vaak gebruikt wordt in de context van muziek en digitale media. In de muziekindustrie verwijst rippen naar het proces waarbij een fysiek medium, zoals een cd of vinylplaat, wordt omgezet naar een digitaal formaat, zoals MP3 of WAV. Dit kan gedaan worden om de muziek te digitaliseren voor persoonlijk gebruik
